season,week,game_type,home_team,away_team,spread_line,model_spread,margin
2021,1,REG,TB,DAL,10.0,3.78,2
2021,1,REG,ATL,PHI,3.5,2.75,-26
2021,1,REG,BUF,PIT,6.5,4.66,-7
2021,1,REG,CAR,NYJ,3.5,6.54,5
2021,1,REG,CIN,MIN,-3.0,2.39,3
2021,1,REG,DET,SF,-9.5,-7.58,-8
2021,1,REG,HOU,JAX,-3.5,7.13,16
2021,1,REG,IND,SEA,-3.0,0.18,-12
2021,1,REG,TEN,ARI,2.5,5.01,-25
2021,1,REG,WAS,LAC,2.5,-1.05,-4
2021,1,REG,KC,CLE,5.5,11.02,4
2021,1,REG,NE,MIA,3.5,3.08,-1
2021,1,REG,NO,GB,-4.0,-5.98,35
2021,1,REG,NYG,DEN,-3.0,0.69,-14
2021,1,REG,LA,CHI,9.5,3.7,20
2021,1,REG,LV,BAL,-3.0,2.98,6
2021,2,REG,WAS,NYG,4.0,2.14,1
2021,2,REG,CAR,NO,-3.0,1.81,19
2021,2,REG,CHI,CIN,2.0,0.28,3
2021,2,REG,CLE,HOU,13.5,-0.22,10
2021,2,REG,IND,LA,-4.0,1.35,-3
2021,2,REG,JAX,DEN,-6.0,-1.49,-10
2021,2,REG,MIA,BUF,-3.5,-2.81,-35
2021,2,REG,NYJ,NE,-5.5,-4.04,-19
2021,2,REG,PHI,SF,-3.0,-1.84,-6
2021,2,REG,PIT,LV,5.5,0.33,-9
2021,2,REG,ARI,MIN,4.0,3.48,1
2021,2,REG,TB,ATL,13.5,6.92,23
2021,2,REG,LAC,DAL,3.0,0.24,-3
2021,2,REG,SEA,TEN,6.5,-0.95,-3
2021,2,REG,BAL,KC,-3.5,-6.02,1
2021,2,REG,GB,DET,11.5,14.68,18
2021,3,REG,HOU,CAR,-8.0,3.11,-15
2021,3,REG,BUF,WAS,7.5,7.08,22
2021,3,REG,CLE,CHI,7.5,2.51,20
2021,3,REG,DET,BAL,-7.5,-6.55,-2
2021,3,REG,JAX,ARI,-8.0,-3.52,-12
2021,3,REG,KC,LAC,6.5,9.17,-6
2021,3,REG,NE,NO,3.0,2.69,-15
